,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,IFIH1,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,V9_SEB,27.148000717163086,,,,15.899999618530273,,,,,,,,,,,
,V9_SEB,,,,,15.98799991607666,,,,,,,,,,,
,V9_SEB,29.521999359130859,1.68,28.34,,15.815999984741211,0.086008,15.90,,12.43,6.36,1.68,,0.012158,0.90,,
,V9_72h,26.351999282836914,,,,18.64900016784668,,,,,,,,,,,
,V9_72h,26.386999130249023,,,,18.708000183105469,,,,,,,,,,,
,V9_72h,26.530000686645508,0.094304,26.42,,18.700000762939453,0.032005,18.69,,7.74,1.67,0.099587,,0.315,0.046946,,
,V10_PMA,28.506999969482422,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,28.148000717163086,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,28.773000717163086,0.31,28.48,,22.124000549316406,0.036373,22.17,,6.31,0.24,0.32,,0.848,0.15,,
,V10_SEB,23.254999160766602,,,,15.586999893188477,,,,,,,,,,,
,V10_SEB,23.031999588012695,,,,15.562999725341797,,,,,,,,,,,
,V10_SEB,23.181999206542969,0.11,23.16,,15.668999671936035,0.055582,15.61,,7.55,1.48,0.13,,0.359,0.059658,,
,V10_72h,23.549999237060547,,,,16.215000152587891,,,,,,,,,,,
,V10_72h,23.566999435424805,,,,16.225000381469727,,,,,,,,,,,
,V10_72h,23.471000671386719,0.051228,23.53,,16.170999526977539,0.028729,16.20,,7.33,1.25,0.058733,,0.419,0.027687,,
,V11_PMA,25.268999099731445,,,,18.406999588012695,,,,,,,,,,,
,V11_PMA,25.177999496459961,,,,18.496000289916992,,,,,,,,,,,
,V11_PMA,25.219999313354492,0.045545,25.22,,18.517000198364258,0.058398,18.47,,6.75,0.68,0.074059,,0.625,0.034912,,
,V11_SEB,22.606000900268555,,,,13.796999931335449,,,,,,,,,,,
,V11_SEB,22.534999847412109,,,,13.76200008392334,,,,,,,,,,,
,V11_SEB,23.059999465942383,0.28,22.73,,13.88599967956543,0.063929,13.81,,8.92,2.85,0.29,,0.139,0.14,,
,V11_72h,23.298000335693359,,,,15.402000427246094,,,,,,,,,,,
,V11_72h,24.08799934387207,,,,15.616999626159668,,,,,,,,,,,
,V11_72h,,0.56,23.69,,15.406999588012695,0.12,15.48,,8.22,2.15,0.57,,0.226,0.31,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
