SAMPLE	AIM2	CASP1	CCL2	CCL20	CCL27	CCL5	CTLA4	CXCL1	CXCL10	CXCL2	DEFB1	EOMES	FOXP3	IFIH1	IFNAR1	IFNG	IFNGR	IL10	IL17A	IL17F	IL1b	IL1F6	IL1RN	IL20RA	IL22	IL22RA1	IL22RA2	IL26	IL8b	KLRK1	LCN2	MICB	NLRP1	NLRP3	PI3	PYCARD	REG3A	S100A8	S100A9	TNF	TRGC1	WIPI1
24	C008.2	30.4699993133545	25.3819999694824	26.9570007324219	31.2910003662109	24.2709999084473	26.6509990692139	31.5580005645752	NA	NA	30.1940002441406	25.6450004577637	30.8059997558594	31.1790008544922	26.982214	25.3269996643066	NA	24.117449	NA	NA	NA	NA	29.6979999542236	NA	26.1809997558594	NA	25.126196	29.706732	NA	33.2159996032715	27.923999786377	25.79129	NA	24.076000213623	NA	28.4379997253418	26.4260005950928	39.5820007324219	28.6420001983643	29.5459995269775	28.2129993438721	NA	25.9389991760254
25	C009	NA	25.992000579834	26.7670001983643	32.5089988708496	39.8779983520508	26.6030006408691	32.351001739502	32.5690002441406	28.6560001373291	30.9270000457764	25.5669994354248	30.1599998474121	30.6870002746582	28.39739	NA	28.6560001373291	23.557447	NA	NA	NA	30.1569995880127	28.7169990539551	23.5620002746582	26.3229999542236	NA	23.780191	27.667704	35.33784	NA	27.261999130249	25.064548	29.1809997558594	24.2199993133545	28.673317	29.5319995880127	25.9599990844727	36.1069984436035	27.1580009460449	27.9839992523193	28.0279998779297	29.3509998321533	27.25
26	C009.1	31.1870002746582	25.761999130249	26.6560001373291	31.7679996490479	38.0769996643066	26.4909992218018	32.1180000305176	NA	29.0820007324219	31.5109996795654	25.6830005645752	30.0419998168945	30.3090000152588	NA	25.3040008544922	29.0820007324219	23.628881	NA	NA	NA	NA	28.7409992218018	23.5909996032715	26.4659996032715	NA	24.025278	NA	32.039776	32.5419998168945	26.9619998931885	25.726187	28.4729995727539	24.1879997253418	NA	29.30299949646	25.4860000610352	35.6809997558594	27.3999996185303	27.7189998626709	28.132999420166	29.6639995574951	26.8490009307861
27	C009.2	30.9640007019043	25.6509990692139	26.92799949646	NA	23.4710006713867	26.4220008850098	32.0340003967285	32.1150016784668	28.5340003967285	30.753999710083	25.5240001678467	30.5130004882812	30.5960006713867	27.949743	25.693000793457	28.5340003967285	23.539343	NA	NA	NA	30.9220008850098	28.2299995422363	23.5559997558594	26.2549991607666	NA	NA	28.016573	29.040323	39.2449989318848	27.1909999847412	25.794641	29.1420001983643	24.2590007781982	28.403948	29.1459999084473	25.757999420166	NA	27.1189994812012	27.6580009460449	27.9950008392334	29.1509990692139	26.9570007324219
28	C010	31.2870006561279	25.4839992523193	25.8700008392334	NA	NA	27.9449996948242	31.9020004272461	30.9200000762939	30.19700050354	30.6040000915527	26.6879997253418	32.1920013427734	30.443000793457	27.996628	25.6749992370605	30.19700050354	23.446054	NA	NA	NA	28.4930000305176	27.7509994506836	23.7660007476807	25.431999206543	32.841988	24.642717	28.483267	29.710878	37.4129981994629	28.2119998931885	24.795841	28.4990005493164	24.8929996490479	28.724176	24.4850006103516	NA	34.0099983215332	24.7919998168945	25.1480007171631	27.9190006256104	30.3700008392334	26.9810009002686
29	C010.1	30.9799995422363	25.4349994659424	25.9549999237061	30.2929992675781	39.4210014343262	27.8229999542236	32.1980018615723	30.386999130249	NA	30.193000793457	27.0009994506836	32.7540016174316	30.5809993743896	27.4076	25.8250007629395	NA	23.36014	NA	NA	NA	28.5470008850098	28.1040000915527	23.9020004272461	25.4419994354248	NA	24.658216	NA	32.930054	39.4440002441406	28.0520000457764	24.617296	28.8190002441406	24.8099994659424	NA	24.5830001831055	25.4349994659424	NA	24.5909996032715	25.2199993133545	27.6550006866455	30.2099990844727	26.7700004577637
30	C010.2	30.6569995880127	25.2530002593994	25.6940002441406	30.2670001983643	23.1669998168945	27.8190002441406	32.476001739502	NA	30.6650009155273	30.7870006561279	26.6539993286133	NA	NA	NA	26.0270004272461	30.6650009155273	23.556635	NA	NA	33.712986	NA	28.0310001373291	23.878999710083	25.5990009307861	NA	24.634798	28.309982	33.13124	33.2599983215332	27.8430004119873	24.668577	29.2700004577637	25.0410003662109	28.758268	24.4659996032715	25.3899993896484	NA	24.5830001831055	25.4109992980957	27.8460006713867	NA	26.7240009307861
31	C011	32.7360000610352	26.7919998168945	27.5219993591309	30.8889999389648	NA	28.6240005493164	34.3479995727539	33.3499984741211	31.3169994354248	31.4069995880127	26.8579998016357	33.8320007324219	32.3310012817383	NA	26.6189994812012	31.3169994354248	NA	NA	11.3753395	NA	NA	30.2660007476807	25.4869995117188	27.6669998168945	NA	25.382114	31.07439	33.308693	NA	29.628999710083	28.00666	29.8290004730225	25.3999996185303	NA	27.8729991912842	27.4619998931885	30.2590007781982	31.113000869751	30.5300006866455	29.6429996490479	NA	28.2450008392334
32	C011.1	32.2319984436035	26.5970001220703	27.6410007476807	31.128999710083	26.5709991455078	28.5419998168945	34.3400001525879	NA	31.4340000152588	NA	27.0459995269775	NA	32.951000213623	28.952536	26.8020000457764	31.4340000152588	24.957684	NA	NA	NA	33.492000579834	30.0860004425049	25.6350002288818	27.9950008392334	NA	25.756735	32.13068	NA	33.5270004272461	30.242000579834	28.342043	NA	25.625	27.018856	27.7929992675781	27.7369995117188	NA	31.7250003814697	30.5300006866455	29.4120006561279	30.8649997711182	27.8799991607666
33	C011.2	NA	26.757999420166	27.5319995880127	NA	26.1499996185303	28.8780002593994	34.0890007019043	32.3779983520508	NA	31.3159999847412	26.8339996337891	31.8040008544922	NA	29.003792	26.7749996185303	NA	25.062574	NA	NA	NA	33.4819984436035	29.8430004119873	25.4939994812012	27.9039993286133	NA	25.715113	NA	NA	33.2080001831055	30.3929996490479	27.664017	30.3020000457764	25.42799949646	34.33475	28.4969997406006	27.4190006256104	35.1030006408691	NA	31.0849990844727	NA	31.5610008239746	28.4860000610352
