SAMPLE	AIM2	CASP1	CCL2	CCL20	CCL27	CCL5	CTLA4	CXCL1	CXCL10	CXCL2	DEFB1	EOMES	FOXP3	IFIH1	IFNAR1	IFNG	IFNGR	IL10	IL17A	IL17F	IL1b	IL1F6	IL1RN	IL20RA	IL22	IL22RA1	IL22RA2	IL26	IL8b	KLRK1	LCN2	MICB	NLRP1	NLRP3	PI3	PYCARD	REG3A	S100A8	S100A9	TNF	TRGC1	WIPI1
11	PH004.1	NA	24.6790008544922	24.32200050354	26.9969997406006	26.3819999694824	26.8199996948242	29.4249992370605	27.0960006713867	27.4029998779297	NA	25.4829998016357	30.1399993896484	28.548999786377	26.338455	26.7350006103516	27.4029998779297	23.667837	32.4900016784668	26.602482	30.175184	26.4930000305176	22.6520004272461	22.6800003051758	27.3050003051758	27.459198	23.788763	30.333073	NA	27.0890007019043	29.5349998474121	19.077578	27.943000793457	24.617000579834	NA	17.3250007629395	23.2900009155273	34.3979988098145	17.3659992218018	18.2630004882812	27.5510005950928	NA	26.1639995574951
12	PH004.2	29.2709999084473	24.8190002441406	24.2840003967285	27.4909992218018	26.4939994812012	26.7980003356934	NA	27.1399993896484	27.6800003051758	NA	25.3959999084473	NA	28.6240005493164	26.42106	26.7409992218018	27.6800003051758	23.927221	32.1650009155273	26.911348	NA	26.3169994354248	22.6639995574951	22.7059993743896	27.5340003967285	NA	23.446178	30.640202	29.566952	26.9029998779297	NA	19.59166	28.5790004730225	24.7560005187988	27.465267	17.4740009307861	23.367000579834	33.1049995422363	17.3899993896484	18.2000007629395	27.6760005950928	32.9010009765625	26.0949993133545
13	PH005	27.5429992675781	23.3139991760254	23.0160007476807	24.3640003204346	25.3840007781982	25.8229999542236	28.7080001831055	25.2369995117188	26.2129993438721	27.2759990692139	24.8279991149902	30.3920001983643	27.7129993438721	NA	23.9820003509521	26.2129993438721	21.118185	NA	NA	30.389896	23.9529991149902	21.451000213623	20.7549991607666	23.6070003509521	29.299984	21.447706	NA	28.116823	22.367000579834	27.3549995422363	17.881433	26.9629993438721	23.4069995880127	NA	16.1590003967285	22.5100002288818	NA	16.7080001831055	16.2000007629395	26.9080009460449	28.7919998168945	25.0610008239746
14	PH005.1	27.6469993591309	23.2269992828369	22.9640007019043	24.42799949646	25.3290004730225	25.6389999389648	28.8729991912842	25.2350006103516	25.8619995117188	27.1709995269775	24.8199996948242	NA	27.6730003356934	31.826038	24.0219993591309	25.8619995117188	21.214096	32.4179992675781	26.32269	NA	23.2889995574951	21.5389995574951	20.7259998321533	23.1270008087158	29.305765	NA	25.572155	NA	22.3549995422363	26.9570007324219	17.975933	26.9799995422363	23.3209991455078	28.230486	16.1240005493164	22.6240005493164	35.4290008544922	16.753999710083	15.9820003509521	26.9599990844727	28.3199996948242	24.5340003967285
15	PH005.2	27.4689998626709	23.4139995574951	23.0990009307861	24.5429992675781	25.3209991455078	26.0400009155273	28.6089992523193	25.4799995422363	25.7929992675781	27.2700004577637	24.8799991607666	30.3439998626709	27.5939998626709	34.470066	23.9979991912842	25.7929992675781	21.273743	31.8419990539551	26.49552	30.995722	23.4090003967285	21.4640007019043	20.7749996185303	23.5820007324219	NA	21.586761	25.91552	27.62099	22.3150005340576	27.1599998474121	18.371037	27.0470008850098	23.3680000305176	27.82407	16.2779998779297	22.5400009155273	34.8849983215332	16.8169994354248	16.1180000305176	26.8889999389648	28.632999420166	24.5410003662109
16	PH006	28.798999786377	24.0130004882812	23.3330001831055	25.9029998779297	26.0849990844727	25.6609992980957	28.8150005340576	26.423999786377	25.3910007476807	27.2150001525879	23.742000579834	30.3950004577637	27.9069995880127	26.06304	25.113000869751	25.3910007476807	22.095163	32.0270004272461	24.422842	NA	26.3999996185303	21.011999130249	21.3020000457764	25.4950008392334	29.788794	22.043314	NA	NA	26.1000003814697	28.5709991455078	NA	26.8689994812012	24.3889999389648	29.239735	15.6280002593994	22.5139999389648	37.8600006103516	16.5009994506836	16.2789993286133	26.3959999084473	30.9300003051758	24.9029998779297
17	PH006.1	28.6580009460449	23.7950000762939	23.3729991912842	25.7849998474121	26.2240009307861	25.9370002746582	29.5919990539551	26.3279991149902	25.8840007781982	27.3020000457764	23.57200050354	NA	27.9759998321533	25.856068	25.2800006866455	25.8840007781982	22.28839	32.2540016174316	24.740149	28.983803	25.7159996032715	21.0230007171631	21.3120002746582	25.8519992828369	28.73885	22.37785	27.82432	27.220127	26.3059997558594	28.4750003814697	18.734707	27.1569995880127	24.7019996643066	NA	16.2150001525879	22.4780006408691	34.1510009765625	16.5249996185303	16.2360000610352	26.19700050354	NA	24.8969993591309
18	PH006.2	28.4950008392334	24.0370006561279	23.3040008544922	25.8810005187988	26.2099990844727	25.4899997711182	29.2080001831055	26.2609996795654	25.6200008392334	27.8810005187988	23.636999130249	30.4389991760254	28.257999420166	26.033373	25.1180000305176	25.6200008392334	22.375736	32.2970008850098	24.803999	28.618374	NA	21.113000869751	21.3120002746582	25.5909996032715	NA	22.63531	27.533377	27.811218	26.3929996490479	NA	18.421865	27.1909999847412	24.3859996795654	26.760054	15.7849998474121	NA	NA	16.4190006256104	16.3700008392334	26.1580009460449	30.7189998626709	24.9370002746582
19	PH007	28.7800006866455	23.5279998779297	24.4029998779297	26.238000869751	23.6639995574951	25.0699996948242	29.507999420166	29.3040008544922	25.4160003662109	29.0729999542236	23.9179992675781	28.818000793457	27.9039993286133	24.614658	23.8360004425049	25.4160003662109	21.121391	32.7470016479492	NA	31.844513	NA	22.1550006866455	21.07200050354	24.1140003204346	30.297987	NA	25.19042	31.009378	30.9389991760254	26.5009994506836	NA	26.6189994812012	22.6040000915527	31.170366	NA	21.9790000915527	NA	17.6040000915527	17.2560005187988	26.5890007019043	28.3379993438721	24.6499996185303
20	PH007.1	29.1669998168945	23.5699996948242	24.3479995727539	NA	23.8229999542236	25.2169990539551	29.8490009307861	28.8299999237061	25.306999206543	29.4829998016357	23.9309997558594	28.6480007171631	27.7980003356934	24.779308	23.871000289917	25.306999206543	21.440926	NA	31.003176	NA	27.8279991149902	22.2180004119873	20.923999786377	23.94700050354	NA	21.6876	25.670666	NA	31.6669998168945	26.6410007476807	25.631384	26.4810009002686	22.7320003509521	NA	19.1310005187988	21.9500007629395	31.5	17.2549991607666	17.1879997253418	26.4979991912842	27.9729995727539	24.3799991607666
