SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PYCARD	TIGIT2
19	C11_72h	24.6720008850098	26.0879993438721	23.1590003967285	26.2399997711182	24.8430004119873	25.6650009155273	29.5970001220703	NA	38.0919990539551	37.1500015258789	32.423999786377	22.6049995422363	24.238000869751	24.9979991912842
20	C11_72h.1	24.7819995880127	26.3159999847412	23.0550003051758	26.1310005187988	25.0990009307861	25.6350002288818	35.3940010070801	37.6679992675781	NA	NA	NA	22.9020004272461	24.0690002441406	24.9020004272461
21	C11_72h.2	24.9290008544922	26.2660007476807	23.05299949646	26.2759990692139	25.2310009002686	25.6660003662109	NA	NA	NA	NA	33.1069984436035	22.7129993438721	24.1879997253418	24.951000213623
22	C11_PMA	20.2140007019043	20.4619998931885	22.0160007476807	24.7970008850098	25.0319995880127	25.3549995422363	19.4190006256104	23.1909999847412	23.6340007781982	25.4220008850098	15.456000328064	23.2220001220703	30.1539993286133	24.3470001220703
23	C11_PMA.1	20.2450008392334	20.4640007019043	22.0459995269775	24.75	NA	25.3810005187988	19.386999130249	23.3339996337891	23.511999130249	25.4249992370605	15.4969997406006	23.1709995269775	29.3759994506836	24.246000289917
24	C11_PMA.2	20.2290000915527	20.4610004425049	22.0520000457764	24.863000869751	25.5639991760254	25.2530002593994	19.451000213623	23.0970001220703	23.4209995269775	25.6979999542236	15.3330001831055	23.0559997558594	29.6359996795654	24.1660003662109
25	C11_SEB	21.7049999237061	19.3139991760254	21.2110004425049	21.2910003662109	22.6529998779297	21.5470008850098	21.568000793457	20.6770000457764	24.3040008544922	27.5209999084473	14.9969997406006	19.7840003967285	23.6889991760254	22.863000869751
26	C11_SEB.1	21.621000289917	19.2719993591309	21.1609992980957	21.07200050354	22.5450000762939	21.4990005493164	21.5200004577637	20.8419990539551	24.4489994049072	27.4740009307861	15.2980003356934	19.8369998931885	23.6299991607666	22.8010005950928
27	C11_SEB.2	21.6630001068115	19.2859992980957	21.0480003356934	21.0389995574951	22.3729991912842	21.636999130249	21.5919990539551	21.0009994506836	24.3920001983643	27.6690006256104	15.0190000534058	19.7900009155273	23.628999710083	22.8349990844727
28	C12_72h	25.9300003051758	26.636999130249	23.3719997406006	25.6919994354248	24.5970001220703	26.7590007781982	33.681999206543	NA	33.3600006103516	38.0519981384277	NA	23.0410003662109	22.4950008392334	25.9150009155273
29	C12_72h.1	26.3360004425049	26.8490009307861	23.5860004425049	25.8419990539551	25.1529998779297	26.9020004272461	37.390998840332	36.2789993286133	33.9620018005371	39.0820007324219	32.7649993896484	23.076000213623	22.4179992675781	25.6509990692139
30	C12_72h.2	26.2910003662109	26.7240009307861	23.5240001678467	25.8339996337891	NA	26.9659996032715	33.5810012817383	29.3509998321533	NA	NA	31.496000289917	23.0809993743896	22.4890003204346	25.5550003051758
31	C12_PMA	22.2849998474121	22.0170001983643	22.9519996643066	25.423999786377	24.8610000610352	24.367000579834	21.9459991455078	29.1089992523193	27.2339992523193	26.3700008392334	17.1439990997314	23.2740001678467	29.2999992370605	24.9799995422363
32	C12_PMA.1	22.2259998321533	21.882999420166	23.0160007476807	25.5799999237061	25.3899993896484	24.4850006103516	21.9650001525879	NA	27.3279991149902	26.0580005645752	17.07200050354	23.2210006713867	29.632999420166	24.9050006866455
33	C12_PMA.2	22.2870006561279	21.9099998474121	23.0259990692139	25.5359992980957	25.4150009155273	24.4990005493164	21.9389991760254	29.1200008392334	27.0869998931885	26.30299949646	17.076000213623	23.2059993743896	NA	25.0060005187988
