SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PYCARD	TIGIT2
14	P019_PMA.1	22.9400005340576	24.4540004730225	25.0779991149902	37.4129981994629	25.2280006408691	28.2199993133545	24.6809997558594	25.1770000457764	27.5830001831055	23.9500007629395	16.8589992523193	26.443000793457	31.3229999542236	25.1660003662109
15	P019_PMA.2	22.8889999389648	24.4710006713867	25.07200050354	37.2750015258789	24.9939994812012	28.2049999237061	24.3349990844727	25.1580009460449	27.6240005493164	23.8659992218018	16.7800006866455	26.4990005493164	30.9400005340576	25.2530002593994
16	P019_SEB	22.5380001068115	22.7770004272461	23.3889999389648	24.9099998474121	22.2900009155273	24.4790000915527	27.0389995574951	21.1019992828369	26.2609996795654	24.5550003051758	17.5769996643066	22.7730007171631	24.3050003051758	23.1679992675781
17	P019_SEB.1	22.6040000915527	22.7730007171631	23.4799995422363	24.9230003356934	22.2689990997314	24.4379997253418	27.1720008850098	20.9839992523193	25.8810005187988	24.4020004272461	17.6310005187988	22.8600006103516	24.3600006103516	23.1359996795654
18	P019_SEB.2	22.556999206543	22.878999710083	23.5620002746582	24.9190006256104	22.2800006866455	24.4640007019043	27.0939998626709	20.8120002746582	26.0310001373291	24.4769992828369	18.0830001831055	22.8549995422363	24.1940002441406	23.1560001373291
19	P020_72h	25.3360004425049	26.9909992218018	23.371000289917	27.7819995880127	23.3649997711182	26.3780002593994	37.1339988708496	NA	NA	NA	29.6830005645752	23.2029991149902	23.121000289917	24.8290004730225
20	P020_72h.1	25.5450000762939	27.2199993133545	23.3330001831055	27.7609996795654	23.298999786377	26.4109992980957	38.5229988098145	33.923999786377	NA	39.8520011901855	29.0790004730225	23.2080001831055	23.0769996643066	24.8299999237061
21	P020_72h.2	25.3950004577637	27.4519996643066	23.3899993896484	27.6319999694824	23.4230003356934	26.5580005645752	38.4249992370605	NA	NA	NA	29.2469997406006	23.2569999694824	23.0690002441406	24.8999996185303
22	P020_PMA	22.5709991455078	22.4750003814697	23.6259994506836	26.8360004425049	25.55299949646	26.9580001831055	20.9850006103516	23.3390007019043	24.2590007781982	25.7129993438721	16.056999206543	24.1030006408691	29.9939994812012	25.5450000762939
23	P020_PMA.1	22.5599994659424	22.5650005340576	23.7049999237061	26.7509994506836	25.2099990844727	27.1299991607666	21.0480003356934	23.6299991607666	24.2189998626709	25.8339996337891	16.0990009307861	24.0860004425049	29.7959995269775	25.4529991149902
24	P020_PMA.2	22.7940006256104	22.5690002441406	23.7240009307861	27.1439990997314	25.003999710083	27.253999710083	20.9729995727539	23.3560009002686	24.2350006103516	25.8419990539551	15.9350004196167	24.2199993133545	29.9720001220703	25.6280002593994
25	P020_SEB	21.5090007781982	20.068000793457	21.6539993286133	22.4370002746582	22.0289993286133	22.2080001831055	21.2859992980957	18.7269992828369	23.9930000305176	26.2229995727539	16.3390007019043	20.5750007629395	23.5739994049072	22.3349990844727
26	P020_SEB.1	21.8330001831055	20.0830001831055	21.6730003356934	22.4950008392334	21.9710006713867	22.1830005645752	21.2770004272461	19.0830001831055	24.1480007171631	26.2670001983643	16.7350006103516	20.5319995880127	23.5629997253418	22.4340000152588
27	P020_SEB.2	21.6389999389648	20.1459999084473	21.7099990844727	22.4710006713867	22.0729999542236	22.42799949646	21.2229995727539	18.4950008392334	24.0650005340576	26.3449993133545	16.378999710083	20.5510005950928	23.4990005493164	22.44700050354
