SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PI3	PYCARD	TIGIT2
76	P16_72h	0.265000	 0.193000	 8.276	 2.447000	1.239000	 2.286000	NA	NA	NA	NA	0.000135	1.989	NA	123.983	 2.944
77	P16_PMA	2.062000	 5.459000	 5.878	 2.293000	0.094132	 7.815000	16.768	NA	23.431	6.635	2.431000	1.224	NA	  1.121	 3.528
78	P16_SEB	1.682000	12.933000	14.367	35.302000	3.437000	45.580000	15.638	133.713	22.816	4.654	1.298000	5.972	NA	 59.700	 7.390
79	P17_72h	0.303000	 0.174000	 3.671	 0.779000	NA	 8.838000	NA	0.009632	NA	NA	NA	1.129	NA	157.732	 1.303
80	P17_PMA	2.250000	 9.164000	 3.162	 6.111000	1.468000	 7.521000	14.588	13.071	16.227	9.739	2.135000	0.876	NA	  1.351	 2.624
81	P17_SEB	1.587000	16.854000	 6.064	35.318000	4.703000	43.082000	9.729	221.731	25.451	7.624	0.615000	6.664	NA	 56.454	 6.351
82	P2_72h	0.217000	 0.134000	 4.738	 1.467000	2.012000	 1.524000	NA	NA	NA	NA	0.000136	0.915	0.218	132.728	 2.192
83	P2_PMA	1.626000	 3.449000	 5.478	 2.683000	0.921000	 1.689000	3.960	3.013	14.045	21.910	1.014000	0.599	NA	  2.540	 3.072
84	P2_SEB	1.039000	12.936000	 8.009	 9.913000	2.777000	23.670000	0.926	19.085	6.823	8.406	0.380000	2.156	0.009803	 86.742	 4.647
85	P3_72h	0.078093	 0.053611	 0.613	 0.391000	1.626000	 3.953000	NA	NA	NA	NA	0.000197	0.218	NA	350.110	 0.472
86	P3_PMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	P3_SEB	1.445000	13.208000	 1.876	15.835000	3.773000	16.541000	5.016	415.489	1.844	22.656	1.142000	2.036	NA	 97.613	 3.378
88	P4_72h	0.380000	 0.300000	 5.130	 1.563000	2.156000	15.327000	NA	0.010483	NA	NA	0.000063	1.488	NA	162.579	 2.407
89	P4_PMA	2.915000	 9.424000	 5.381	 3.711000	1.013000	 8.009000	111.148	34.711	76.586	16.574	2.988000	0.778	NA	NA	 4.206
90	P4_SEB	2.026000	25.334000	12.539	53.359000	4.491000	28.800000	2.857	42.518	5.006	14.515	0.313000	4.934	0.006803	 58.892	11.554
91	P5_72h	0.084416	 0.084222	 1.315	 0.837000	2.127000	10.028000	NA	NA	NA	NA	0.000077	1.117	NA	342.035	 0.884
92	P5_PMA	0.381000	 0.474000	 0.227	 0.361000	1.625000	 1.616000	0.350	0.544	0.813	1.953	0.102000	1.089	1.819	 10.470	 1.357
