SAMPLE	AIM2	CASP1	CCL2	CCL20	CCL27	CCL5	CTLA4	CXCL1	CXCL10	CXCL2	DEFB1	EOMES	FOXP3	IFIH1	IFNAR1	IFNG	IFNGR	IL10	IL17A	IL17F	IL1b	IL1F6	IL1RN	IL20RA	IL22	IL22RA1	IL22RA2	IL26	IL8b	KLRK1	LCN2	MICB	NLRP1	NLRP3	PI3	PYCARD	REG3A	S100A8	S100A9	TNF	TRGC1	WIPI1
11	PH012	NA	 4.524214	NA	 0.251012992	NA	NA	NA	NA	NA	NA	7.3598020514515845	NA	NA	NA	0.1744236	NA	0.1225796	NA	NA	NA	NA	NA	NA	4.863277e-01	NA	  5.882129	NA	NA	NA	NA	1.084246e-02	 0.001739033	80.746800371055969	NA	  1.99170098	  125.97558	NA	 321.1271019	NA	NA	NA	  4.253550
12	PH013	8.3108764156593011	29.141436	22.927407462497168	 1.656341693	32.304586570217197	16.074112032383535	62.70466816636354	1.7353062762814245E-2	  15.9133558	2.819664037632319E-2	23.90101788384105	2.026514768402611	 113.352049	14.70163982	0.9221034	  15.9133558	1.1134387	NA	NA	NA	1.595491298	2666.3818492572022	166.61031368495188	6.513050e+00	NA	 17.823301	NA	NA	0.38165316973453434	32.218862474767398	4.281236e-01	 0.178212067	7.9282390636502997	1.6989990077856907	 97.41017570	   56.54525	NA	1252.2738591	2002.1483471998565	43.582195	49.70548170519843	 17.753126
13	PH014	4.4326414094467026	17.812698	21.065847537540936	 0.339347058	59.873015370437862	16.251492985552485	52.092389280472815	1.4496357590832898E-2	  11.5901977	1.4658023279635484E-2	23.153626138423288	4.1964443674725356	  46.964557	 6.83269082	0.5028388	  11.5901977	0.6655405	0.41744739249066665	NA	NA	0.285619552	1223.8128017289564	87.154306982200396	4.141537e+00	NA	 16.861422	NA	NA	8.0912146262641593E-2	24.615583193468975	1.513057e-01	 0.083746195	4.1790265844274472	0.56605717235164155	 70.07532278	   59.10330	NA	 616.3049462	915.76532366854974	23.777099	70.579011667756191	 14.180478
14	PH015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	PH016	NA	18.000941	29.974573168247275	 0.853817523	98.06499816320455	7.5457635748620584	4.1896609445480415	3.6522457524339881E-3	   3.2867617	NA	24.996709112567334	2.1634498851397508	  26.415870	 3.20312952	0.7611928	   3.2867617	NA	NA	8.0305752055964186E-2	0.54991789422923965	NA	801.37482401886484	87.406339955921226	8.119176e+00	NA	 18.650734	 26.464579	3.487196e+00	7.5900949627060446E-3	19.217295447074747	3.407960e-02	 0.077178012	7.7150017610194137	1.0753337306670774	  5.03386536	   76.17964	NA	 185.3361779	230.24091812368025	17.740812	34.071634229356199	 23.923116
16	PH017	NA	16.614063	13.457458804295491	 0.452503015	23.983992824804286	5.807832269874778	NA	2.6724997736229796E-2	  13.7942930	4.2462512243949334E-2	8.2630027352204376	1.6045484700937702	  27.189914	15.40620781	0.4924333	  13.7942930	0.8663976	0.58594274679333902	0.35296272000094209	2.1794254956659334	3.196146255	2318.0030520916789	103.77626444409252	3.619190e+00	9.6193876116042745	 13.835155	NA	1.716205e+00	0.47259201463854489	15.136923148094388	2.475054e-01	 0.095061205	5.7411246386541475	0.55083057714583028	 70.63609419	   61.97723	NA	1165.9851853	1759.9681500267618	16.807114	28.367487475652787	 27.922062
17	PH018	7.9520805576331339	34.209684	19.301839499525702	 0.862741167	33.335782735449591	5.1753852974815047	NA	3.3138839418811995E-2	  25.5573413	5.9026223861978276E-2	28.383868906108678	1.147107746108758	  42.498300	35.47322760	1.0219559	  25.5573413	1.6295595	3.1703993714261736	NA	NA	0.525829433	3065.6964557689525	116.05512472934261	NA	NA	 24.345497	 21.014041	7.713566e+00	0.18441141555658583	NA	4.482928e-01	 0.096187955	8.2448864725652484	NA	103.76432875	   85.80557	NA	 960.2944678	1558.7427748491157	16.018502	45.79120448736046	 29.555069
18	PH019	9.9935652881867103	24.025588	28.541725954209788	NA	56.083352785334277	29.384834241112625	28.703743278710093	4.9113433234798136E-3	  11.6532982	9.5939055290913452E-3	31.146528937359008	7.6670255069918767	  88.095726	NA	1.4382691	  11.6532982	1.7902540	1.2188322447263467	0.36887770170560757	0.59627123835807638	NA	1932.6078329612283	128.86054226680577	9.045291e+00	6.3230727592406497	 19.918075	 18.354473	1.558711e+01	3.2569528251450715E-2	NA	1.585785e-01	 0.216134397	NA	5.0192280167880341	 49.02684887	   47.94584	NA	 571.3243660	NA	40.205844	148.39851160578397	 26.245540
19	PH020	NA	30.399991	19.454075835327149	 1.086483375	48.357438833615113	16.014789373527247	24.422966651987256	4.822509851640862E-3	  18.9264611	2.0253748408468716E-2	13.983616814210608	NA	  40.710611	13.19896785	0.9623718	  18.9264611	1.1455027	NA	0.37134323764934785	NA	0.182208970	1762.4083337951097	65.936234086183973	3.834396e+00	24.475900677666719	 24.480660	 38.389651	NA	1.4847180439872631E-2	35.596574148387916	2.991548e-01	 0.189289570	8.7928600827328172	NA	 91.47672797	   58.43116	NA	 957.6362683	911.0161646281565	23.317373	58.994111711253247	 20.378839
20	PH021	8.6958860513615317	20.649005	34.807695443934804	 0.576876132	33.707563548789615	68.498441320536173	25.138614200359925	5.562974931240814E-2	  69.6153295	6.450255505724492E-2	18.442976509634551	17.199963039730729	  22.434805	16.16461164	0.6079396	  69.6153295	1.0494749	NA	0.59189025455062161	0.69839329247168935	3.161626844	1605.3439306842356	86.183135778108294	2.858649e+00	12.749807926266561	 12.999542	 29.114271	7.969870e+00	0.47106559626389649	100.35716768423723	2.305642e-01	 0.164102165	3.3434402274970818	2.8377128473158435	 81.68505460	   24.25707	NA	 551.5448725	783.97668441333428	14.087400	53.544502824635615	 21.881921
21	PH022	14.453358244474218	22.074868	47.406086322210193	 0.538617565	32.884436088051913	17.291596770146167	92.18751221771241	2.1065112602034176E-2	  21.0439359	3.9290711957688428E-2	9.4348480313982339	6.3554733746465804	 155.381031	30.15831243	0.7256435	  21.0439359	1.0949278	1.0630179210627069	0.66736062029373766	NA	0.658535366	2032.4441629392752	83.517069688606568	NA	20.494538950709988	 13.253509	NA	NA	0.13876018757684097	30.963565567685091	1.129105e-01	 0.171387376	5.4163931882372616	NA	 92.56105313	   44.12933	NA	1090.4189097	1766.0772894792763	26.858991	145.44523395539844	 18.332521
22	PH023	22.705965494024554	NA	25.205511125939321	 0.645281117	25.735110719052248	20.327103962635011	128.32572132958163	7.6168237106736147E-2	  12.7993604	2.9489255263690565E-2	21.750839869581537	3.0969189485136104	 140.344871	42.07573230	0.8475281	  12.7993604	1.9508044	1.0213656593799116	1.0358214282839493	2.4359828493719649	NA	4543.7469843652261	182.02587550568759	NA	NA	 20.728222	NA	NA	0.54336714870361158	NA	4.166383e-01	 1.244011840	NA	NA	 55.13898484	   58.20215	NA	 357.4672347	1887.5940345205172	32.899656	202.39075997874988	 29.007082
23	PH024	56.375605460327492	28.960206	28.853351462701621	 1.517117999	60.575649308840937	16.671740797329988	100.34555889643418	5.5347655752984184E-2	  13.2783070	6.7311620390935814E-2	15.952001553474163	3.2079841416459112	 155.884383	38.05367647	0.8420625	  13.2783070	1.3495425	NA	0.65293974679845679	0.9786055961623159	1.672492366	3718.0576964408906	165.4975656564871	4.487772e+00	11.957912088674671	 24.238997	 58.829143	1.746002e+01	0.70108736020571982	63.85230999060375	NA	 0.099787268	6.7896257263723525	1.8909055084155968	 72.80672804	   52.99065	NA	1048.0554986	1675.0634602174675	30.392985	109.23813215419487	 27.607729
24	PH025	10.57070804651379	25.380822	26.076308206707846	 0.950000984	36.724404915853938	20.946932830452678	78.041401444432069	1.6549468884070745E-3	   7.1156751	1.0944376137817461E-2	18.336762478411362	4.6924248692202806	  68.435229	14.69772171	1.0528745	   7.1156751	1.1000329	NA	0.30214095022619397	0.49974792063839379	0.361316140	1241.0399956434644	95.2512798553973	8.888874e+00	NA	 25.001845	 31.368971	NA	1.3347067523512729E-2	55.228235278763258	7.424683e-02	 0.178068089	8.5346611781506425	3.2551528815897495	 36.46230421	   38.23090	5.2877979278476284	 517.5904827	794.92084332169088	26.501467	58.701825683055212	 17.271651
25	PH026	13.76245752746185	27.896246	29.87775871129703	 2.677710226	30.945681656847761	28.913392460598743	168.44881667320135	2.1929236093995115E-2	  41.1360780	3.2978409848467082E-2	16.434618810335859	8.8315470467476604	  91.985355	14.79578205	0.7648947	  41.1360780	1.3789891	1.9629149512805677	1.3672660983768823	4.8699199185652482	1.609559792	2480.3588989324762	108.40837653612232	4.976045e+00	18.695671462980446	 26.999480	 20.996482	1.630800e+01	0.13006752245319739	52.600332265036343	4.177282e-01	 0.224066577	7.5947346247513785	4.3704501474314625	130.05695698	   52.04423	NA	 802.6719653	1411.1606398628214	25.818490	128.77113267940337	 14.966516
