,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,PI3,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,31.100000381469727,,,,17.930999755859375,,,,,,,,,,,
,Kalibraator,,,,,18.006000518798828,,,,,,,,,,,
,,31.923999786376953,0.58,31.51,,17.895999908447266,0.056199,17.94,,13.57,0.00,0.59,,1.000,0.31,,
,C22_SEB,33.095001220703125,3.15,35.33,,14.031999588012695,0.084788,14.00,,21.32,7.75,3.15,,0.004638,1.69,
,C22_72h,39.696998596191406,,,,18.409000396728516,,,,,,,,,,
,C22_72h,39.756000518798828,,,,18.417999267578125,,,,,,,,,,
,C22_72h,39.202999114990234,0.30,39.55,,18.454999923706055,0.024379,18.43,,21.12,7.56,0.30,,0.00531,0.14,
,C23_PMA,Undetermined,,,,20.375,,,,,,,,,,
,C23_PMA,Undetermined,,,,20.37700080871582,,,,,,,,,,
,C23_PMA,Undetermined,#DIV/0!,#DIV/0!,,20.356000900268555,0.01159,20.37,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C23_SEB,Undetermined,,,,14.642000198364258,,,,,,,,,,
,C23_SEB,34.435001373291016,,,,14.616000175476074,,,,,,,,,,
,C23_SEB,Undetermined,#DIV/0!,34.44,,14.600000381469727,0.021197,14.62,,19.82,6.25,#DIV/0!,,0.013157,#DIV/0!,
,C23_72h,Undetermined,,,,16.809000015258789,,,,,,,,,,
,C23_72h,34.320999145507813,,,,16.770999908447266,,,,,,,,,,
,C23_72h,Undetermined,#DIV/0!,34.32,,16.860000610351563,0.044658,16.81,,17.51,3.94,#DIV/0!,,0.065154,#DIV/0!,
,C24_PMA,33.33599853515625,,,,19.346000671386719,,,,,,,,,,
,C24_PMA,33.252998352050781,,,,19.381999969482422,,,,,,,,,,
,C24_PMA,Undetermined,0.05869,33.29,,19.364999771118164,0.018009,19.36,,13.93,0.36,0.061391,,0.778,0.032815,
,C24_SEB,Undetermined,,,,14.921999931335449,,,,,,,,,,
,C24_SEB,Undetermined,,,,15.088000297546387,,,,,,,,,,
,C24_SEB,Undetermined,#DIV/0!,#DIV/0!,,15.048000335693359,0.086634,15.02,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,
,C24_72h,Undetermined,,,,17.919000625610352,,,,,,,,,,,
,C24_72h,34.959999084472656,,,,17.985000610351563,,,,,,,,,,,
,C24_72h,Undetermined,#DIV/0!,34.96,,18.044000625610352,0.062533,17.98,,16.98,3.41,#DIV/0!,,0.0941,#DIV/0!,,
,C25_PMA,32.568000793457031,,,,17.961000442504883,,,,,,,,,,,
,C25_PMA,33.805999755859375,,,,17.958999633789062,,,,,,,,,,,
,C25_PMA,Undetermined,0.88,33.19,,18.014999389648438,0.03177,17.98,,15.21,1.64,0.88,,0.321,0.47,,
,C25_SEB,Undetermined,,,,15.661999702453613,,,,,,,,,,,
,C25_SEB,Undetermined,,,,15.774999618530273,,,,,,,,,,,
,C25_SEB,Undetermined,#DIV/0!,#DIV/0!,,15.717000007629395,0.056507,15.72,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,
,C25_72h,Undetermined,,,,16.982000350952148,,,,,,,,,,,
,C25_72h,33.418998718261719,,,,16.98699951171875,,,,,,,,,,,
,C25_72h,33.442001342773438,0.016265,33.43,,16.87299919128418,0.064423,16.95,,16.48,2.92,0.066445,,0.133,0.035516,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
